Key,Country,Indicator,Comment
1,200,2809945,
2,200,2809943,
3,184,2809943,
4,104,2809943,
5,184,2809939,
6,104,2809939,
7,200,2922871,
8,184,2922871,
9,104,2922871,
10,200,2922875,
11,184,2922875,
12,104,2922875,
13,200,2809941,
14,184,2809941,My Comment
15,104,2809941,
16,184,2809945,
17,104,2809945,
18,200,2809933,
19,200,2809935,
20,184,2809935,
21,104,2809935,
22,184,2809933,
23,104,2809933,
24,2809857,2809945,
25,2809857,2809941,
26,2809857,2922875,
27,2809857,2922871,
28,2809857,2809943,
29,2809861,2809945,
30,2809864,2809945,
31,2809863,2809945,
32,2809862,2809945,
33,2809861,2809941,
34,2809864,2809941,
35,2809863,2809941,
36,2809862,2809941,
37,2809861,2922875,
38,2809864,2922875,
39,2809863,2922875,
40,2809862,2922875,
41,2809861,2922871,
42,2809864,2922871,
43,2809863,2922871,
44,2809862,2922871,
45,2809861,2809939,
46,2809861,2809943,
47,2809864,2809943,
48,2809863,2809943,
49,2809862,2809943,
